Year,IA_Thousand barrels,Ethanol IFEWs (Thousands of Barrels)
1986,2976.00,4286.33
1987,4167.00,3608.93
1988,4167.00,2916.92
1989,5060.00,7590.94
1990,5060.00,5837.60
1991,5655.00,5773.69
1992,7143.00,8747.94
1993,8929.00,3429.39
1994,10095.00,12987.34
1995,10095.00,4532.86
1996,10095.00,7999.53
1997,10095.00,6998.80
1998,10095.00,8025.54
1999,10476.00,8222.91
2000,10476.00,9307.99
2001,10476.00,9570.17
2002,10476.00,16324.20
2003,14238.00,19622.37
2004,20452.00,23737.68
2005,26190.00,23676.39
2006,35714.00,31524.44
2007,46548.00,55492.19
2008,56123.00,50205.59
2009,74000.00,74000.04
2010,84071.00,66689.85
2011,89315.00,76465.43
2012,86265.00,57038.26
2013,87238.00,82382.76
2014,89188.00,71436.52
2015,94058.00,74373.69
2016,95983.00,88250.11
2017,100558.00,77948.71
2018,104035.00,77227.68
2019,104135.00,77458.17
